date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:04:14	2620/2620	---M--	200	added ('OK')	application/json	date:Sat,%2011%20Dec%202021%2009:34:13%20GMT	http://localhost:8080/purvatraders/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%3A8080%2Fpurvatraders%2F	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/wp-json/oembed/1.0/embed32a7.json	(from http://localhost:8080/purvatraders/)
15:04:15	2724/2724	---M--	200	added ('OK')	text/xml	date:Sat,%2011%20Dec%202021%2009:34:14%20GMT	http://localhost:8080/purvatraders/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%3A8080%2Fpurvatraders%2F&format=xml	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/wp-json/oembed/1.0/embedb524	(from http://localhost:8080/purvatraders/)
15:04:15	3342/3342	---M--	200	added ('OK')	image/png	etag:%22d0e-5d2db31cdfa4e%22	http://localhost:8080/purvatraders/wp-content/uploads/2021/12/pURVA-tRADERS.png	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/wp-content/uploads/2021/12/pURVA-tRADERS.png	(from http://localhost:8080/purvatraders/)
15:04:16	1767/1767	---M--	200	added ('OK')	image/png	etag:%226e7-5d2d0344abfe3%22	http://localhost:8080/purvatraders/wp-content/plugins/gtranslate/flags/24/en.png	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/wp-content/plugins/gtranslate/flags/24/en.png	(from http://localhost:8080/purvatraders/)
15:04:18	135776/135776	---MCZ	200	added ('OK')	text/html	date:Sat,%2011%20Dec%202021%2009:34:17%20GMT	http://localhost:8080/purvatraders/leading-shade-net-supplier/	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/leading-shade-net-supplier/index.html	(from http://localhost:8080/purvatraders/)
15:04:18	48350/48350	---MC-	200	added ('OK')	application/json	date:Sat,%2011%20Dec%202021%2009:34:10%20GMT	http://localhost:8080/purvatraders/wp-json/wp/v2/pages/95	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/wp-json/wp/v2/pages/95.json	(from http://localhost:8080/purvatraders/)
15:04:19	74442/74442	---MCZ	200	added ('OK')	text/html	date:Sat,%2011%20Dec%202021%2009:34:19%20GMT	http://localhost:8080/purvatraders/blog/	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/blog/index.html	(from http://localhost:8080/purvatraders/)
15:04:19	2195/2195	---MCZ	403	error ('Forbidden')	text/html	date:Sat,%2011%20Dec%202021%2009:34:20%20GMT	https://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit2	C:/My%20Web%20Sites/purva/translate.google.com/translate_a/element.c7876.delayed	(from http://localhost:8080/purvatraders/)
15:04:20	6576/6576	---M--	200	added ('OK')	text/html	date:Sat,%2011%20Dec%202021%2009:34:20%20GMT	http://localhost:8080/	C:/My%20Web%20Sites/purva/localhost_8080/index.html	(from http://localhost:8080/purvatraders/)
15:04:21	3795/3795	---M--	200	added ('OK')	image/png	etag:%22ed3-5d2db32fccaa3%22	http://localhost:8080/purvatraders/wp-content/uploads/2021/12/PinClipart.com_container-ship-clipart_1239844-150x150.png	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/wp-content/uploads/2021/12/PinClipart.com_container-ship-clipart_1239844-150x150.png	(from http://localhost:8080/purvatraders/)
15:04:21	100746/100746	---M--	200	added ('OK')	application/javascript	etag:%221898a-5d2db64b1c59f%22	http://localhost:8080/purvatraders/wp-content/cache/wpo-minify/1639214591/assets/wpo-minify-header-f5340c16.min.js	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/wp-content/cache/wpo-minify/1639214591/assets/wpo-minify-header-f5340c16.min.js	(from http://localhost:8080/purvatraders/)
15:04:21	18460/18460	---M--	200	added ('OK')	text/css	etag:%22481c-5d2db64b8cf4c%22	http://localhost:8080/purvatraders/wp-content/cache/wpo-minify/1639214591/assets/wpo-minify-footer-80d20e64.min.css	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/wp-content/cache/wpo-minify/1639214591/assets/wpo-minify-footer-80d20e64.min.css	(from http://localhost:8080/purvatraders/)
15:04:29	53755/53755	---M--	200	added ('OK')	image/jpeg	etag:%22d1fb-5d2db33f18531%22	http://localhost:8080/purvatraders/wp-content/uploads/2021/12/container-g8154ab855_1280.jpg	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/wp-content/uploads/2021/12/container-g8154ab855_1280.jpg	(from http://localhost:8080/purvatraders/)
15:04:32	131364/131364	---MC-	200	added ('OK')	application/json	date:Sat,%2011%20Dec%202021%2009:34:10%20GMT	http://localhost:8080/purvatraders/wp-json/	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/wp-json/index.html	(from http://localhost:8080/purvatraders/)
15:04:33	70859/70859	---M--	200	added ('OK')	application/javascript	etag:%22114cb-5d2db64b86a01%22	http://localhost:8080/purvatraders/wp-content/cache/wpo-minify/1639214591/assets/wpo-minify-footer-98cf1025.min.js	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/wp-content/cache/wpo-minify/1639214591/assets/wpo-minify-footer-98cf1025.min.js	(from http://localhost:8080/purvatraders/)
15:04:34	31642/31642	---M--	200	added ('OK')	image/png	etag:%227b9a-5d2d034477365%22	http://localhost:8080/purvatraders/wp-content/plugins/gtranslate/24.png	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/wp-content/plugins/gtranslate/24.png	(from http://localhost:8080/purvatraders/wp-content/cache/wpo-minify/1639214591/assets/wpo-minify-header-4ee073c9.min.css)
15:04:56	134346/134346	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2220cca-5d2cb081e2eca%22	http://localhost:8080/purvatraders/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.eot	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.eot	(from http://localhost:8080/purvatraders/wp-content/cache/wpo-minify/1639214591/assets/wpo-minify-header-4ee073c9.min.css)
15:04:58	223669/223669	---M--	200	added ('OK')	application/javascript	etag:%22369b5-5d2db64b76529%22	http://localhost:8080/purvatraders/wp-content/cache/wpo-minify/1639214591/assets/wpo-minify-footer-a83246dd.min.js	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/wp-content/cache/wpo-minify/1639214591/assets/wpo-minify-footer-a83246dd.min.js	(from http://localhost:8080/purvatraders/)
15:05:06	208060/208060	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2232cbc-5d2cb08198b4d%22	http://localhost:8080/purvatraders/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.eot	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.eot	(from http://localhost:8080/purvatraders/wp-content/cache/wpo-minify/1639214591/assets/wpo-minify-header-4ee073c9.min.css)
15:05:08	208060/208060	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2232cbc-5d2cb08198b4d%22	http://localhost:8080/purvatraders/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.eot?5.10.0	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons0b93.eot	(from http://localhost:8080/purvatraders/wp-content/cache/wpo-minify/1639214591/assets/wpo-minify-header-4ee073c9.min.css)
15:05:09	6146/6146	---M--	200	added ('OK')	image/png	etag:%221802-5d2cb080cd94c%22	http://localhost:8080/purvatraders/wp-content/plugins/elementor/assets/images/placeholder.png	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/wp-content/plugins/elementor/assets/images/placeholder.png	(from http://localhost:8080/purvatraders/leading-shade-net-supplier/)
15:05:09	408379/408379	---M--	200	added ('OK')	text/css	etag:%2263b3b-5d2db8b1a8628%22	http://localhost:8080/purvatraders/wp-content/cache/wpo-minify/1639214591/assets/wpo-minify-header-3024494d.min.css	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/wp-content/cache/wpo-minify/1639214591/assets/wpo-minify-header-3024494d.min.css	(from http://localhost:8080/purvatraders/leading-shade-net-supplier/)
15:05:11	97535/97535	---M--	200	added ('OK')	image/jpeg	etag:%2217cff-5d2db322e4407%22	http://localhost:8080/purvatraders/wp-content/uploads/2021/12/container-g4e3dc5977_1280.jpg	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/wp-content/uploads/2021/12/container-g4e3dc5977_1280.jpg	(from http://localhost:8080/purvatraders/wp-content/cache/wpo-minify/1639214591/assets/wpo-minify-header-4ee073c9.min.css)
15:05:11	34034/34034	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2284f2-5d2cb081f28ca%22	http://localhost:8080/purvatraders/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.eot	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.eot	(from http://localhost:8080/purvatraders/wp-content/cache/wpo-minify/1639214591/assets/wpo-minify-header-4ee073c9.min.css)
15:05:12	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2011%20Dec%202021%2009:35:11%20GMT	http://localhost:8080/purvatraders/?p=5268	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/indexe09a.html	(from http://localhost:8080/purvatraders/leading-shade-net-supplier/)
15:05:12	2726/2726	---M--	200	added ('OK')	application/json	date:Sat,%2011%20Dec%202021%2009:35:11%20GMT	http://localhost:8080/purvatraders/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%3A8080%2Fpurvatraders%2Fleading-shade-net-supplier%2F	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/wp-json/oembed/1.0/embedaefc.json	(from http://localhost:8080/purvatraders/leading-shade-net-supplier/)
15:05:13	2827/2827	---M--	200	added ('OK')	text/xml	date:Sat,%2011%20Dec%202021%2009:35:12%20GMT	http://localhost:8080/purvatraders/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%3A8080%2Fpurvatraders%2Fleading-shade-net-supplier%2F&format=xml	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/wp-json/oembed/1.0/embed4b8d	(from http://localhost:8080/purvatraders/leading-shade-net-supplier/)
15:05:13	168443/168443	---M--	200	added ('OK')	text/css	etag:%22291fb-5d2db8b3b33bb%22	http://localhost:8080/purvatraders/wp-content/cache/wpo-minify/1639214591/assets/wpo-minify-header-18401c98.min.css	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/wp-content/cache/wpo-minify/1639214591/assets/wpo-minify-header-18401c98.min.css	(from http://localhost:8080/purvatraders/blog/)
15:05:16	7085/7085	---M--	200	added ('OK')	application/json	date:Sat,%2011%20Dec%202021%2009:35:14%20GMT	http://localhost:8080/purvatraders/wp-json/wp/v2/pages/5218	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/wp-json/wp/v2/pages/5218.json	(from http://localhost:8080/purvatraders/blog/)
15:05:16	32643/32643	---MC-	200	added ('OK')	application/json	date:Sat,%2011%20Dec%202021%2009:35:10%20GMT	http://localhost:8080/purvatraders/wp-json/wp/v2/pages/5268	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/wp-json/wp/v2/pages/5268.json	(from http://localhost:8080/purvatraders/leading-shade-net-supplier/)
15:05:17	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2011%20Dec%202021%2009:35:16%20GMT	http://localhost:8080/purvatraders/?p=5218	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/indexa715.html	(from http://localhost:8080/purvatraders/blog/)
15:05:17	2322/2322	---M--	200	added ('OK')	application/json	date:Sat,%2011%20Dec%202021%2009:35:16%20GMT	http://localhost:8080/purvatraders/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%3A8080%2Fpurvatraders%2Fblog%2F	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/wp-json/oembed/1.0/embedf863.json	(from http://localhost:8080/purvatraders/blog/)
15:05:17	6516/6516	---M--	200	added ('OK')	text/html	date:Sat,%2011%20Dec%202021%2009:35:17%20GMT	http://localhost:8080/purvatraders/wp-login.php	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/wp-login.html	(from http://localhost:8080/purvatraders/blog/)
15:05:18	2410/2410	---M--	200	added ('OK')	text/xml	date:Sat,%2011%20Dec%202021%2009:35:17%20GMT	http://localhost:8080/purvatraders/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%3A8080%2Fpurvatraders%2Fblog%2F&format=xml	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/wp-json/oembed/1.0/embed6668	(from http://localhost:8080/purvatraders/blog/)
15:05:18	4170/4170	---M--	200	added ('OK')	text/css	etag:%22104a-5bb0df15e2080%22	http://localhost:8080/wampthemes/classic/style.css	C:/My%20Web%20Sites/purva/localhost_8080/wampthemes/classic/style.css	(from http://localhost:8080/)
15:05:20	17402/17402	---M--	200	added ('OK')	application/javascript	etag:%2243fa-5d2db8b3bead7%22	http://localhost:8080/purvatraders/wp-content/cache/wpo-minify/1639214591/assets/wpo-minify-footer-8f880972.min.js	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/wp-content/cache/wpo-minify/1639214591/assets/wpo-minify-footer-8f880972.min.js	(from http://localhost:8080/purvatraders/blog/)
15:05:21	328/328	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2011%20Dec%202021%2009:35:21%20GMT	http://localhost:8080/phpsysinfo	C:/My%20Web%20Sites/purva/localhost_8080/phpsysinfo	(from http://localhost:8080/)
15:05:23	103379/103379	---MC-	200	added ('OK')	text/html	date:Sat,%2011%20Dec%202021%2009:35:21%20GMT	http://localhost:8080/?phpinfo=-1	C:/My%20Web%20Sites/purva/localhost_8080/index80fb.html	(from http://localhost:8080/)
15:05:23	5321/5321	---M--	200	added ('OK')	text/html	date:Sat,%2011%20Dec%202021%2009:35:23%20GMT	http://localhost:8080/add_vhost.php?lang=english	C:/My%20Web%20Sites/purva/localhost_8080/add_vhost1d29.html	(from http://localhost:8080/)
15:05:26	16743/16743	---MC-	200	added ('OK')	text/html	date:Sat,%2011%20Dec%202021%2009:35:23%20GMT	http://localhost:8080/?xdebuginfo	C:/My%20Web%20Sites/purva/localhost_8080/indexec3d.html	(from http://localhost:8080/)
15:05:27	2096/2096	---M--	200	added ('OK')	text/html	date:Sat,%2011%20Dec%202021%2009:35:26%20GMT	http://localhost:8080/phpsysinfo/	C:/My%20Web%20Sites/purva/localhost_8080/phpsysinfo/index.html	(from http://localhost:8080/)
15:05:29	4489/4489	---M--	200	added ('OK')	text/html	date:Sat,%2011%20Dec%202021%2009:35:27%20GMT	http://localhost:8080/adminer/	C:/My%20Web%20Sites/purva/localhost_8080/adminer/index.html	(from http://localhost:8080/)
15:05:31	203030/203030	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2231916-5d2cb081f480a%22	http://localhost:8080/purvatraders/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.eot	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.eot	(from http://localhost:8080/purvatraders/wp-content/cache/wpo-minify/1639214591/assets/wpo-minify-header-4ee073c9.min.css)
15:05:39	19811/19811	---M-Z	200	added ('OK')	text/html	date:Sat,%2011%20Dec%202021%2009:35:36%20+0000	http://localhost:8080/phpmyadmin/	C:/My%20Web%20Sites/purva/localhost_8080/phpmyadmin/index.html	(from http://localhost:8080/)
15:05:39	14752/14752	---M-Z	200	added ('OK')	text/html	date:Sat,%2011%20Dec%202021%2009:35:37%20+0000	http://localhost:8080/phpmyadmin4.9.7/	C:/My%20Web%20Sites/purva/localhost_8080/phpmyadmin4.9.7/index.html	(from http://localhost:8080/)
15:05:42	221867/221867	---M--	200	added ('OK')	application/javascript	etag:%22362ab-5d2db8b1e1964%22	http://localhost:8080/purvatraders/wp-content/cache/wpo-minify/1639214591/assets/wpo-minify-footer-72903f44.min.js	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/wp-content/cache/wpo-minify/1639214591/assets/wpo-minify-footer-72903f44.min.js	(from http://localhost:8080/purvatraders/leading-shade-net-supplier/)
15:05:43	693/693	---M--	200	added ('OK')	text/css	etag:%222b5-5d2d03453b25b%22	http://localhost:8080/purvatraders/wp-content/plugins/gtranslate/gtranslate-style24.css?ver=5.8.2	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/wp-content/plugins/gtranslate/gtranslate-style24080f.css	(from http://localhost:8080/purvatraders/wp-login.php)
15:05:43	202575/202575	---M--	200	added ('OK')	image/x-icon	etag:%223174f-498ac239aff80%22	http://localhost:8080/favicon.ico	C:/My%20Web%20Sites/purva/localhost_8080/favicon.ico	(from http://localhost:8080/)
15:05:43	59016/59016	---M--	200	added ('OK')	text/css	etag:%22e688-5bca85cdbf580%22	http://localhost:8080/purvatraders/wp-includes/css/dashicons.min.css?ver=5.8.2	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/wp-includes/css/dashicons.min080f.css	(from http://localhost:8080/purvatraders/wp-login.php)
15:05:45	11224/11224	---M--	200	added ('OK')	application/javascript	etag:%222bd8-5b45debe27b80%22	http://localhost:8080/purvatraders/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/wp-includes/js/jquery/jquery-migrate.mind617.js	(from http://localhost:8080/purvatraders/wp-login.php)
15:05:45	5854/5854	---M--	200	added ('OK')	text/css	etag:%2216de-5baec8ceddbc0%22	http://localhost:8080/purvatraders/wp-includes/css/buttons.min.css?ver=5.8.2	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/wp-includes/css/buttons.min080f.css	(from http://localhost:8080/purvatraders/wp-login.php)
15:05:45	25361/25361	---M--	200	added ('OK')	text/css	etag:%226311-5c227712f6d80%22	http://localhost:8080/purvatraders/wp-admin/css/forms.min.css?ver=5.8.2	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/wp-admin/css/forms.min080f.css	(from http://localhost:8080/purvatraders/wp-login.php)
15:05:47	2477/2477	---M--	200	added ('OK')	text/css	etag:%229ad-57cc15c805580%22	http://localhost:8080/purvatraders/wp-admin/css/l10n.min.css?ver=5.8.2	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/wp-admin/css/l10n.min080f.css	(from http://localhost:8080/purvatraders/wp-login.php)
15:05:47	5716/5716	---M--	200	added ('OK')	text/css	etag:%221654-5c4466bbf3080%22	http://localhost:8080/purvatraders/wp-admin/css/login.min.css?ver=5.8.2	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/wp-admin/css/login.min080f.css	(from http://localhost:8080/purvatraders/wp-login.php)
15:05:47	3313/3313	---M--	200	added ('OK')	text/html	date:Sat,%2011%20Dec%202021%2009:35:47%20GMT	http://localhost:8080/purvatraders/wp-login.php?action=lostpassword	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/wp-loginc2b6.html	(from http://localhost:8080/purvatraders/wp-login.php)
15:05:47	351/351	---M--	200	added ('OK')	application/javascript	etag:%2215f-5bc03a4c745c0%22	http://localhost:8080/purvatraders/wp-includes/js/zxcvbn-async.min.js?ver=1.0	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/wp-includes/js/zxcvbn-async.min5152.js	(from http://localhost:8080/purvatraders/wp-login.php)
15:05:49	6406/6406	---M--	200	added ('OK')	application/javascript	etag:%221906-5c563acace740%22	http://localhost:8080/purvatraders/wp-includes/js/dist/vendor/regenerator-runtime.min.js?ver=0.13.7	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/wp-includes/js/dist/vendor/regenerator-runtime.minb36a.js	(from http://localhost:8080/purvatraders/wp-login.php)
15:05:50	5440/5440	---M--	200	added ('OK')	application/javascript	etag:%221540-5c344ade1c480%22	http://localhost:8080/purvatraders/wp-includes/js/dist/hooks.min.js?ver=a7edae857aab69d69fa10d5aef23a5de	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/wp-includes/js/dist/hooks.mine16b.js	(from http://localhost:8080/purvatraders/wp-login.php)
15:05:50	1123/1123	---M--	200	added ('OK')	application/javascript	etag:%22463-5b97c601ab6c0%22	http://localhost:8080/purvatraders/wp-admin/js/password-strength-meter.min.js?ver=5.8.2	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/wp-admin/js/password-strength-meter.min080f.js	(from http://localhost:8080/purvatraders/wp-login.php)
15:05:51	89521/89521	---M--	200	added ('OK')	application/javascript	etag:%2215db1-5bd3006388300%22	http://localhost:8080/purvatraders/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/wp-includes/js/jquery/jquery.minaf6c.js	(from http://localhost:8080/purvatraders/wp-login.php)
15:05:51	9866/9866	---M--	200	added ('OK')	application/javascript	etag:%22268a-5c344ade1c480%22	http://localhost:8080/purvatraders/wp-includes/js/dist/i18n.min.js?ver=5f1269854226b4dd90450db411a12b79	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/wp-includes/js/dist/i18n.min71a7.js	(from http://localhost:8080/purvatraders/wp-login.php)
15:05:51	16470/16470	---M--	200	added ('OK')	application/javascript	etag:%224056-5c4c2122a12c0%22	http://localhost:8080/purvatraders/wp-includes/js/dist/vendor/wp-polyfill.min.js?ver=3.15.0	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/wp-includes/js/dist/vendor/wp-polyfill.min2c7c.js	(from http://localhost:8080/purvatraders/wp-login.php)
15:05:51	19076/19076	---M--	200	added ('OK')	application/javascript	etag:%224a84-5c354d4d5bdc0%22	http://localhost:8080/purvatraders/wp-includes/js/underscore.min.js?ver=1.13.1	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/wp-includes/js/underscore.min0028.js	(from http://localhost:8080/purvatraders/wp-login.php)
15:05:52	1340/1340	---M--	200	added ('OK')	application/javascript	etag:%2253c-5c59844787880%22	http://localhost:8080/purvatraders/wp-includes/js/wp-util.min.js?ver=5.8.2	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/wp-includes/js/wp-util.min080f.js	(from http://localhost:8080/purvatraders/wp-login.php)
15:05:52	6080/6080	---M--	200	added ('OK')	application/javascript	etag:%2217c0-5bdd4388c79c0%22	http://localhost:8080/purvatraders/wp-admin/js/user-profile.min.js?ver=5.8.2	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/wp-admin/js/user-profile.min080f.js	(from http://localhost:8080/purvatraders/wp-login.php)
15:05:52	2681/2681	---M--	200	added ('OK')	image/gif	etag:%22a79-5a1d4e921d300%22	http://localhost:8080/wampthemes/classic/img/gifLogo1.gif	C:/My%20Web%20Sites/purva/localhost_8080/wampthemes/classic/img/gifLogo1.gif	(from http://localhost:8080/wampthemes/classic/style.css)
15:05:52	850/850	---M--	200	added ('OK')	image/png	etag:%22352-57c7db7cd6200%22	http://localhost:8080/wampthemes/classic/img/pngFolder.png	C:/My%20Web%20Sites/purva/localhost_8080/wampthemes/classic/img/pngFolder.png	(from http://localhost:8080/wampthemes/classic/style.css)
15:05:52	741/741	---M--	200	added ('OK')	image/png	etag:%222e5-57c7dc2e38480%22	http://localhost:8080/wampthemes/classic/img/pngWrench.png	C:/My%20Web%20Sites/purva/localhost_8080/wampthemes/classic/img/pngWrench.png	(from http://localhost:8080/wampthemes/classic/style.css)
15:05:53	694/694	---M--	200	added ('OK')	image/png	etag:%222b6-57c7dbcb09a80%22	http://localhost:8080/wampthemes/classic/img/pngFolderGo.png	C:/My%20Web%20Sites/purva/localhost_8080/wampthemes/classic/img/pngFolderGo.png	(from http://localhost:8080/wampthemes/classic/style.css)
15:05:53	140/140	---M--	200	added ('OK')	image/png	etag:%228c-57e73114ab200%22	http://localhost:8080/wampthemes/classic/img/pngPlugin.png	C:/My%20Web%20Sites/purva/localhost_8080/wampthemes/classic/img/pngPlugin.png	(from http://localhost:8080/wampthemes/classic/style.css)
15:05:53	925/925	---M--	200	added ('OK')	image/gif	etag:%2239d-5be811ab9dc00%22	http://localhost:8080/phpsysinfo/gfx/favicon.gif	C:/My%20Web%20Sites/purva/localhost_8080/phpsysinfo/gfx/favicon.gif	(from http://localhost:8080/phpsysinfo/)
